如果他知道她经常批评自己,那么她经常批评他。@@@如果他知道她经常批评自己,那么她经常批评她自己。
如果他知道她把自己的书送给了朋友,那么她把他的书送给了朋友。@@@如果他知道她把自己的书送给了朋友,那么她把她自己的书送给了朋友。
如果他担心她会批评自己,那么她会批评他。@@@如果他担心她会批评自己,那么她会批评她自己。
如果他知道她害了自己,那么她害了他。@@@如果他知道她害了自己,那么她害了她自己。
如果他觉得她对自己没信心,那么她对他没信心。@@@如果他觉得她对自己没信心,那么她对她自己没信心。
如果他认为她的骄傲害了自己,那么她的骄傲害了他。@@@如果他认为她的骄傲害了自己,那么她的骄傲害了她自己。
如果他知道她告诉过他有关自己的工作,那么她告诉过他有关他的工作。@@@如果他知道她告诉过他有关自己的工作,那么她告诉过他有关她自己的工作。
如果他说她跟他谈过自己的事,那么她跟他谈过他的事。@@@如果他说她跟他谈过自己的事,那么她跟他谈过她自己的事。
如果他认为她从他那里听说了自己的分数,那么她从他那里听说了他的分数。@@@如果他认为她从他那里听说了自己的分数,那么她从他那里听说了她自己的分数。
如果他知道她在他家洗自己的照片,那么她在他家洗他的照片。@@@如果他知道她在他家洗自己的照片,那么她在他家洗她自己的照片。
如果他不喜欢她管自己的事,那么她管他的事。@@@如果他不喜欢她管自己的事,那么她管她自己的事。
如果他知道她的报告害了自己,那么她的报告害了他。@@@如果他知道她的报告害了自己,那么她的报告害了她自己。
如果他的话暗示她的信害了自己,那么她的信害了他。@@@如果他的话暗示她的信害了自己,那么她的信害了她自己。
如果他认为她恨自己,那么她恨他。@@@如果他认为她恨自己,那么她恨她自己。
如果他说她喜欢自己,那么她喜欢他。@@@如果他说她喜欢自己,那么她喜欢她自己。
如果他告诉别人她觉得自己明年可以考进好大学,那么她觉得他明年可以考进好大学。@@@如果他告诉别人她觉得自己明年可以考进好大学,那么她觉得她自己明年可以考进好大学。
如果他说她批评了自己,那么她批评了他。@@@如果他说她批评了自己,那么她批评了她自己。
如果他觉得她在批评自己,那么她在批评他。@@@如果他觉得她在批评自己,那么她在批评她自己。
如果他认为她知道自己的朋友是一个好人,那么她知道他的朋友是一个好人。@@@如果他认为她知道自己的朋友是一个好人,那么她知道她自己的朋友是一个好人。
如果他觉得她不喜欢自己,那么她不喜欢他。@@@如果他觉得她不喜欢自己,那么她不喜欢她自己。
如果她知道他经常批评自己,那么他经常批评她。@@@如果她知道他经常批评自己,那么他经常批评他自己。
如果她知道他把自己的书送给了朋友,那么他把她的书送给了朋友。@@@如果她知道他把自己的书送给了朋友,那么他把他自己的书送给了朋友。
如果她担心他会批评自己,那么他会批评她。@@@如果她担心他会批评自己,那么他会批评他自己。
如果她知道他害了自己,那么他害了她。@@@如果她知道他害了自己,那么他害了他自己。
如果她觉得他对自己没信心,那么他对她没信心。@@@如果她觉得他对自己没信心,那么他对他自己没信心。
如果她认为他的骄傲害了自己,那么他的骄傲害了她。@@@如果她认为他的骄傲害了自己,那么他的骄傲害了他自己。
如果她知道他告诉过她有关自己的工作,那么他告诉过她有关她的工作。@@@如果她知道他告诉过她有关自己的工作,那么他告诉过她有关他自己的工作。
如果她说他跟她谈过自己的事,那么他跟她谈过她的事。@@@如果她说他跟她谈过自己的事,那么他跟她谈过他自己的事。
如果她认为他从她那里听说了自己的分数,那么他从她那里听说了她的分数。@@@如果她认为他从她那里听说了自己的分数,那么他从她那里听说了他自己的分数。
如果她知道他在她家洗自己的照片,那么他在她家洗她的照片。@@@如果她知道他在她家洗自己的照片,那么他在她家洗他自己的照片。
如果她不喜欢他管自己的事,那么他管她的事。@@@如果她不喜欢他管自己的事,那么他管他自己的事。
如果她知道他的报告害了自己,那么他的报告害了她。@@@如果她知道他的报告害了自己,那么他的报告害了他自己。
如果她的话暗示他的信害了自己,那么他的信害了她。@@@如果她的话暗示他的信害了自己,那么他的信害了他自己。
如果她认为他恨自己,那么他恨她。@@@如果她认为他恨自己,那么他恨他自己。
如果她说他喜欢自己,那么他喜欢她。@@@如果她说他喜欢自己,那么他喜欢他自己。
如果她告诉别人他觉得自己明年可以考进好大学,那么他觉得她明年可以考进好大学。@@@如果她告诉别人他觉得自己明年可以考进好大学,那么他觉得他自己明年可以考进好大学。
如果她说他批评了自己,那么他批评了她。@@@如果她说他批评了自己,那么他批评了他自己。
如果她觉得他在批评自己,那么他在批评她。@@@如果她觉得他在批评自己,那么他在批评他自己。
如果她认为他知道自己的朋友是一个好人,那么他知道她的朋友是一个好人。@@@如果她认为他知道自己的朋友是一个好人,那么他知道他自己的朋友是一个好人。
如果她觉得他不喜欢自己,那么他不喜欢她。@@@如果她觉得他不喜欢自己,那么他不喜欢他自己。
